




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2507)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
multicellular organism development (GO:0007275)	4941	1049	601.46	+	1.74	8.39E-76	1.33E-71
anatomical structure development (GO:0048856)	5330	1103	648.81	+	1.70	1.91E-75	1.51E-71
system development (GO:0048731)	4330	958	527.08	+	1.82	3.36E-75	1.77E-71
developmental process (GO:0032502)	5797	1154	705.66	+	1.64	4.37E-71	1.73E-67
multicellular organismal process (GO:0032501)	6926	1285	843.09	+	1.52	3.45E-65	1.09E-61
nervous system development (GO:0007399)	2218	583	269.99	+	2.16	8.68E-62	2.29E-58
anatomical structure morphogenesis (GO:0009653)	2158	562	262.69	+	2.14	5.40E-58	1.22E-54
animal organ development (GO:0048513)	3220	719	391.97	+	1.83	1.60E-53	3.16E-50
cell differentiation (GO:0030154)	3575	772	435.18	+	1.77	3.52E-53	6.18E-50
cellular developmental process (GO:0048869)	3634	777	442.36	+	1.76	3.52E-52	5.57E-49
neurogenesis (GO:0022008)	1391	387	169.32	+	2.29	3.46E-44	4.98E-41
generation of neurons (GO:0048699)	1271	363	154.72	+	2.35	2.35E-43	3.09E-40
animal organ morphogenesis (GO:0009887)	956	300	116.37	+	2.58	7.67E-42	9.33E-39
regulation of multicellular organismal process (GO:0051239)	2673	582	325.38	+	1.79	6.13E-39	6.92E-36
neuron differentiation (GO:0030182)	1043	308	126.96	+	2.43	7.89E-39	8.31E-36
central nervous system development (GO:0007417)	1000	287	121.73	+	2.36	2.54E-34	2.51E-31
regulation of developmental process (GO:0050793)	2461	531	299.57	+	1.77	3.89E-34	3.61E-31
regulation of signaling (GO:0023051)	3545	691	431.53	+	1.60	1.84E-33	1.62E-30
biological regulation (GO:0065007)	12568	1829	1529.88	+	1.20	1.58E-32	1.32E-29
regulation of cell communication (GO:0010646)	3509	681	427.15	+	1.59	2.06E-32	1.55E-29
regulation of localization (GO:0032879)	2753	569	335.12	+	1.70	2.06E-32	1.63E-29
pattern specification process (GO:0007389)	426	165	51.86	+	3.18	2.01E-31	1.45E-28
